Title,Number of Reviews,Rating,Bought Last Month,Price After Discount,MRP,Image URL,Product ID,5 Star Percentage,4 Star Percentage,3 Star Percentage,2 Star Percentage,1 Star Percentage,Bought Last Month (Numeric)
CLAW Shoot Wireless 2.4Ghz USB Gamepad Controller for PC Supports Windows XP/7/8/10 with Rubberized Textured Grip and Dual Vibration Motors (Does not have Bluetooth || Not for Mobile),4231,3.9,,1390.0,1790.0,https://m.media-amazon.com/images/I/71ECIrQFjXL._AC_UY218_.jpg,31,50%,22%,11%,4%,13%,0
"Ant Esports GP110 Wired Gamepad, Compatible for PC & Laptop Computer (Windows 10/8 /7) / PS3 / Android",2222,3.9,500+ bought in past month,889.0,1999.0,https://m.media-amazon.com/images/I/61FXFhr1r7L._AC_UY218_.jpg,32,50%,25%,9%,4%,12%,500
"PowerA Battle Dragon™ Wireless Controller for PC and Cloud Gaming: Magnetic Hall Effect, Asymmetric Rumble Motors, 20h Playtime (Not for iOS)",22975,3.8,200+ bought in past month,2899.0,4999.0,https://m.media-amazon.com/images/I/61L1V3MDRXL._AC_UY218_.jpg,33,55%,16%,8%,4%,17%,200
"Cosmic Byte Nexus Wireless Controller for PC | Dual Vibration, Sensitive Triggers, Fast Response | Powered by 2 AAA Batteries (Not Included) (Black)",23,3.8,300+ bought in past month,799.0,1699.0,https://m.media-amazon.com/images/I/516PPYoLL1L._AC_UY218_.jpg,34,49%,18%,11%,5%,17%,300
"EvoFox Elite X RGB Wired Gaming Controller for PC with 2 Programmable Macro Back Buttons, Adjustable Dual Vibration Motors,Turbo Mode,Analog Triggers, High Precision joysticks,Low Latency Plug and Play,Translucent Shell Gamepad for pc",2607,4.0,200+ bought in past month,1299.0,1999.0,https://m.media-amazon.com/images/I/71ghAT0kkNL._AC_UY218_.jpg,35,56%,20%,8%,4%,12%,200
"Cosmic Byte Blitz Wireless + Wired Controller for PC, Hall Effect Joystick & Triggers, 1000Hz Polling Rate, Adjustable Vibration, Turbo & Auto Turbo (White)",383,4.2,300+ bought in past month,2099.0,3999.0,https://m.media-amazon.com/images/I/41Qg1o0OJjL._AC_UY218_.jpg,36,62%,20%,5%,2%,11%,300
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Warrior's Nirvana (Officially Licensed)",3609,4.2,,2999.0,299900.0,https://m.media-amazon.com/images/I/71F49OkAzuL._AC_UY218_.jpg,37,61%,20%,6%,3%,10%,0
ARcNet Dualshock Wireless Controller Game Switch For PS 4 With 3.5 mm Headset Port & 6 Axis Gyro Sensor Wireless USB Controller Compatible for PS 4 Slim/PS 4 PRO/PS 4 Fat With Built in Speaker,47,4.4,200+ bought in past month,2199.0,2999.0,https://m.media-amazon.com/images/I/71BV7QqgdsL._AC_UY218_.jpg,38,72%,13%,0%,12%,3%,200
"EvoFox Elite X2 Wireless Gaming Controller For PC, Dual-Mode (2.4G & Type C), Hallsense™ Magnetic Hall 3D Joysticks & Triggers Gamepad, EZ Click Macros, New Precision & Turbo Mode, Dual Vibration Motors(Blue)",1075,4.1,300+ bought in past month,1799.0,2499.0,https://m.media-amazon.com/images/I/61jBlflAQML._AC_UY218_.jpg,39,61%,18%,6%,4%,11%,300
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Pink Lemonade, Pink/Yellow (Officially Licensed)",3609,4.2,,2999.0,299900.0,https://m.media-amazon.com/images/I/61TK0ecvyBL._AC_UY218_.jpg,40,61%,20%,6%,3%,10%,0
Singh Packagings - Twin Vibration Wireless Analog Controller Compatible for PS2/PS1/PSX - 2.4G Dual Vibration Gamepad Remote Joypad with Receiver- Compatible with Playstation2 (Batteries Not Included),44,3.9,,845.0,1499.0,https://m.media-amazon.com/images/I/41cwwZ0b0AL._AC_UY218_.jpg,41,49%,27%,9%,0%,15%,0
"Ant Esports GP300 Pro V2 Wireless Gaming Controller, Compatible for PC & Laptop (Windows 10/8 /7 XP, Steam) / PS3",1874,3.9,100+ bought in past month,1179.0,2999.0,https://m.media-amazon.com/images/I/51JJKyRFcUL._AC_UY218_.jpg,42,50%,22%,12%,5%,11%,100
