Title,Number_of_Reviews,Rating,Bought_Last_Month,Price_After_Discount,MRP,Image_URL,Product_ID,Star_Rating_Percentage
"Boult Newly Launched Fluid X Headphones Bluetooth Wireless with 60H Playtime, 40mm Bass Driver, Zen ENC Mic, Type-C Charging, Combat™Gaming Mode, BTv 5.4, Headphones Wireless with mic (Ivory White)",215,"3.8 out of 5 stars, rating details",null,"1,499","₹5,999",https://m.media-amazon.com/images/I/711Y31WRzbL._AC_UY218_.jpg,11,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)","25,077","3.7 out of 5 stars, rating details",2K+ bought in past month,649,"₹1,199",https://m.media-amazon.com/images/I/618-45t0P5L._AC_UY218_.jpg,12,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"Sony MDR-ZX110A On Ear Stereo Wired Headphones (White), Without Mic","67,067","4.0 out of 5 stars, rating details",2K+ bought in past month,598,"₹1,390",https://m.media-amazon.com/images/I/41BoLKMYjnL._AC_UY218_.jpg,13,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"boAt Rockerz 425 Bluetooth Wireless On Ear Headphones Signature Sound, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2, Dual Pairing with Mic (Ash Grey)","4,280","3.6 out of 5 stars, rating details",1K+ bought in past month,"1,099","₹2,999",https://m.media-amazon.com/images/I/61R4Tj5podL._AC_UY218_.jpg,14,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"boAt New Launch Rockerz 650 Pro, Touch/Swipe Controls, Dolby Audio, 80Hrs Battery, 2Mics ENx, Fast Charge, App Support, Dual Pair, Bluetooth Over Ear Headphones with Mic (Iris Black)",807,"4.3 out of 5 stars, rating details",2K+ bought in past month,"2,299","₹8,990",https://m.media-amazon.com/images/I/61-XNG5lPBL._AC_UY218_.jpg,15,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"ZEBRONICS Thunder Max Bluetooth Over Ear Headphone with 120*Hrs Playback, 3 EQ Modes, 40mm Bass Driver, Fast Charging, Gaming Mode, Dual Pairing, BT v5.4, AUX, Metallic Finish (Black)",392,"3.9 out of 5 stars, rating details",500+ bought in past month,999,"₹2,499",https://m.media-amazon.com/images/I/61qhVikQ-kL._AC_UY218_.jpg,16,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"soundcore by Anker Q20i Wireless Bluetooth Over-Ear Headphones with Hybrid Active Noise Cancelling, 40h Playtime in ANC Mode, Hi-Res Audio, Deep Bass, Personalization via App (Black)",null,"4.3 out of 5 stars, rating details",null,"3,899","₹9,598",null,17,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)","20,532","4.0 out of 5 stars, rating details",1K+ bought in past month,"1,999","₹4,449",https://m.media-amazon.com/images/I/61kFL7ywsZS._AC_UY218_.jpg,18,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"Portronics Muffs M2 Bluetooth Headphones Over Ear with Upto 40 Hrs Playtime, 40mm Dynamic Drivers, AUX 3.5mm, Powerful Bass, Laptop & PC Support,Type C Charging Port, Foldable Design(White)",241,"3.8 out of 5 stars, rating details",500+ bought in past month,785,"₹2,499",https://m.media-amazon.com/images/I/51OpXOQc0PL._AC_UY218_.jpg,19,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"Sony WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Adaptive Sound Control, Quick Charge, Up to 35Hrs Battery, Customized EQ- Black","10,941","4.2 out of 5 stars, rating details",1K+ bought in past month,"7,989","₹14,990",https://m.media-amazon.com/images/I/51rpbVmi9XL._AC_UY218_.jpg,20,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40ms), 40mm Drivers, ENx Technology, Integrated Controls, v5.4 Bluetooth Headphones, Wireless Headphone with Mic (Bold Blue)",31,"4.2 out of 5 stars, rating details",500+ bought in past month,"1,299","₹2,490",https://m.media-amazon.com/images/I/71quB2GTUKL._AC_UY218_.jpg,21,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Black","21,489","4.2 out of 5 stars, rating details",1K+ bought in past month,"3,989","₹5,900",https://m.media-amazon.com/images/I/41lArSiD5hL._AC_UY218_.jpg,22,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"ZEBRONICS Zeb-Dynamic with Bluetooth Supporting Headphone, Aux Input, Call Function and Media/Volume Control",755,"3.1 out of 5 stars, rating details",500+ bought in past month,629,"₹1,799",https://m.media-amazon.com/images/I/612-xSgZ3vL._AC_UY218_.jpg,23,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"boAt Rockerz 425 Bluetooth Wireless Over Ear Headphones with Mic Signature Sound, Beast Mode for Gaming, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2 (Active Black)","4,280","3.6 out of 5 stars, rating details",1K+ bought in past month,"1,099","₹2,999",https://m.media-amazon.com/images/I/61XvYOrqVeL._AC_UY218_.jpg,24,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
Logitech H111 Wired On Ear Headphones With Mic Black,"18,968","3.9 out of 5 stars, rating details",3K+ bought in past month,695,₹955,https://m.media-amazon.com/images/I/61HBpQuLjVL._AC_UY218_.jpg,25,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)","25,077","3.7 out of 5 stars, rating details",2K+ bought in past month,649,"₹1,199",https://m.media-amazon.com/images/I/618-45t0P5L._AC_UY218_.jpg,26,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone Up to 60 Hours Playback, Wired Mode, USB-C Type Charging(Black)","3,786","3.7 out of 5 stars, rating details",500+ bought in past month,799,"₹1,899",https://m.media-amazon.com/images/I/618Z0eTNM6L._AC_UY218_.jpg,27,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"Sonos Ace | Noise Cancelling Wireless Over-Ear Headphones with Bluetooth, 30-Hour Battery Life, Spatial Audio, Dolby Atmos, Dynamic Head Tracking - White",null,"4.2 out of 5 stars, rating details",null,"29,999","₹39,999",null,28,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
