Title,Number_of_Reviews,Rating,Bought_Last_Month,Price_After_Discount,MRP,Image_URL,Product_ID,Star_Rating_Percentage
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Pink Lemonade, Pink/Yellow (Officially Licensed)","3,609","4.2 out of 5 stars, rating details",null,"2,999","₹2,99,900",https://m.media-amazon.com/images/I/61TK0ecvyBL._AC_UY218_.jpg,27,"{5: '61%', 4: '20%', 3: '6%', 2: '3%', 1: '10%'}"
Khushi Decor GreyTheme 3M Skin Sticker Cover for PS4 Console and 2 Controller Decal Cover+ 4 Led bar Decal Sticker (Pack of 1),2,"3.5 out of 5 stars, rating details",null,446,₹999,https://m.media-amazon.com/images/I/71YVLyLasIL._AC_UY218_.jpg,28,"{5: '51%', 4: '0%', 3: '0%', 2: '49%', 1: '0%'}"
"One94Store Rechargeable Silicone Panda Night Light for Kids | 7-Color LED Changing Lamp |Adorable Room Decor & Gift for Toddlers, Teens, & Valentine's Day Present|Soft BPA-Free Nightlight| Multicolour",null,"4.1 out of 5 stars, rating details",null,399,"₹1,999",null,29,"{5: '60%', 4: '20%', 3: '5%', 2: '3%', 1: '12%'}"
"EvoFox One S Universal 3-Mode Wireless Gaming Controller – HallSense™ Precision Joysticks, Bluetooth 5.0, 2.4GHz & Wired Connectivity, Macro & Precision Buttons, Fast Type-C Charging & Dual Vibration, for PC, Mobile, Android TV, PS4 & Console Gaming","1,075","4.1 out of 5 stars, rating details",300+ bought in past month,"1,599","₹2,299",https://m.media-amazon.com/images/I/61zsBElkHyL._AC_UY218_.jpg,30,"{5: '61%', 4: '18%', 3: '6%', 2: '4%', 1: '11%'}"
CLAW Shoot Wireless 2.4Ghz USB Gamepad Controller for PC Supports Windows XP/7/8/10 with Rubberized Textured Grip and Dual Vibration Motors (Does not have Bluetooth || Not for Mobile),"4,231","3.9 out of 5 stars, rating details",null,"1,390","₹1,790",https://m.media-amazon.com/images/I/71ECIrQFjXL._AC_UY218_.jpg,31,"{5: '50%', 4: '22%', 3: '11%', 2: '4%', 1: '13%'}"
"Ant Esports GP110 Wired Gamepad, Compatible for PC & Laptop Computer (Windows 10/8 /7) / PS3 / Android","2,222","3.9 out of 5 stars, rating details",500+ bought in past month,889,"₹1,999",https://m.media-amazon.com/images/I/61FXFhr1r7L._AC_UY218_.jpg,32,"{5: '50%', 4: '25%', 3: '9%', 2: '4%', 1: '12%'}"
"PowerA Battle Dragon™ Wireless Controller for PC and Cloud Gaming: Magnetic Hall Effect, Asymmetric Rumble Motors, 20h Playtime (Not for iOS)","22,975","3.8 out of 5 stars, rating details",200+ bought in past month,"2,899","₹4,999",https://m.media-amazon.com/images/I/61L1V3MDRXL._AC_UY218_.jpg,33,"{5: '55%', 4: '16%', 3: '8%', 2: '4%', 1: '17%'}"
"Cosmic Byte Nexus Wireless Controller for PC | Dual Vibration, Sensitive Triggers, Fast Response | Powered by 2 AAA Batteries (Not Included) (Black)",23,"3.8 out of 5 stars, rating details",300+ bought in past month,799,"₹1,699",https://m.media-amazon.com/images/I/516PPYoLL1L._AC_UY218_.jpg,34,"{5: '49%', 4: '18%', 3: '11%', 2: '5%', 1: '17%'}"
"EvoFox Elite X RGB Wired Gaming Controller for PC with 2 Programmable Macro Back Buttons, Adjustable Dual Vibration Motors,Turbo Mode,Analog Triggers, High Precision joysticks,Low Latency Plug and Play,Translucent Shell Gamepad for pc","2,607","4.0 out of 5 stars, rating details",200+ bought in past month,"1,299","₹1,999",https://m.media-amazon.com/images/I/71ghAT0kkNL._AC_UY218_.jpg,35,"{5: '56%', 4: '20%', 3: '8%', 2: '4%', 1: '12%'}"
"Cosmic Byte Blitz Wireless + Wired Controller for PC, Hall Effect Joystick & Triggers, 1000Hz Polling Rate, Adjustable Vibration, Turbo & Auto Turbo (White)",383,"4.2 out of 5 stars, rating details",300+ bought in past month,"2,099","₹3,999",https://m.media-amazon.com/images/I/41Qg1o0OJjL._AC_UY218_.jpg,36,"{5: '62%', 4: '20%', 3: '5%', 2: '2%', 1: '11%'}"
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Warrior's Nirvana (Officially Licensed)","3,609","4.2 out of 5 stars, rating details",null,"2,999","₹2,99,900",https://m.media-amazon.com/images/I/71F49OkAzuL._AC_UY218_.jpg,37,"{5: '61%', 4: '20%', 3: '6%', 2: '3%', 1: '10%'}"
ARcNet Dualshock Wireless Controller Game Switch For PS 4 With 3.5 mm Headset Port & 6 Axis Gyro Sensor Wireless USB Controller Compatible for PS 4 Slim/PS 4 PRO/PS 4 Fat With Built in Speaker,47,"4.4 out of 5 stars, rating details",200+ bought in past month,"2,199","₹2,999",https://m.media-amazon.com/images/I/71BV7QqgdsL._AC_UY218_.jpg,38,"{5: '72%', 4: '13%', 3: '0%', 2: '12%', 1: '3%'}"
